Symptom,Description
Itching,Unpleasant skin sensation leading to scratching.
Skin Rash,Red and inflamed skin patches.
Nodal Skin Eruptions,Raised lesions on the skin.
Continuous Sneezing,"Persistent, repetitive sneezing."
Shivering,Involuntary body tremors.
Chills,Sudden cold sensations and shivering.
Joint Pain,Discomfort in the joints.
Stomach Pain,Aching or discomfort in the abdomen.
Acidity,Excessive gastric acid presence.
Ulcers On Tongue,Open sores on the tongue.
Muscle Wasting,Reduction in muscle mass.
Vomiting,Forceful expulsion of stomach contents.
Burning Urination,Painful sensation during urination.
Spotting Urination,Discharging small amounts of urine.
Fatigue,Persistent tiredness and lack of energy.
Weight Gain,Increase in body weight.
Anxiety,Intense feelings of worry.
Cold Hands And Feets,Abnormally cold extremities.
Mood Swings,Fluctuations in emotional states.
Weight Loss,Reduction in body weight.
Restlessness,Inability to stay still or calm.
Lethargy,Lack of energy and enthusiasm.
Pain In Throat,Soreness or discomfort in the throat.
Irregular Sugar Level,Fluctuations in blood sugar.
Cough,Forceful expulsion of air from the lungs.
High Fever,Elevated body temperature.
Sunken Eyes,Hollow or recessed eye appearance.
Breathlessness,Difficulty breathing.
Sweating,Excessive perspiration.
Dehydration,Insufficient body fluid levels.
Indigestion,Difficulty digesting food.
Headache,Aching or pain in the head.
Yellowish Skin,Skin discoloration with a yellow tint.
Dark Urine,Urine with a darker than normal color.
Nausea,Feeling of queasiness or sickness.
Loss of Appetite,Reduced desire to eat.
Pain behind the Eyes,Discomfort in the eye area.
Back Pain,Aching or discomfort in the back.
Constipation,Difficulty passing stools.
Abdominal Pain,Pain in the abdominal area.
Diarrhoea,Loose or watery stools.
Mild Fever,Slight elevation in body temperature.
Yellow Urine,Urine with a yellow color.
Yellowing of Eyes,Yellow discoloration of the eyes.
Liver Failure,Dysfunction of the liver.
Fluid Overload,Excess accumulation of bodily fluids.
Swelling Of Stomach,Abdominal bloating.
Swelled Lymph Nodes,Enlarged lymph nodes.
Malaise,General feeling of discomfort or illness.
Blurred and Distorted Vision,Unclear or altered eyesight.
Phlegm,Thick mucus secretion.
Throat Irritation,Discomfort or scratchiness in the throat.
Redness of Eyes,Eyes appearing red.
Sinus Pressure,Feeling of pressure in the sinuses.
Runny Nose,Excessive nasal discharge.
Congestion,Blocked or stuffy nasal passages.
Chest Pain,Discomfort in the chest area.
Weakness in Limbs,Reduced strength in the limbs.
Fast Heart Rate,Elevated heart rate.
Pain During Bowel Movements,Discomfort during defecation.
Pain in Anal Region,Discomfort in the anal area.
Bloody Stool,Presence of blood in the stool.
Irritation in Anus,Discomfort in the anal region.
Neck Pain,Discomfort or pain in the neck.
Dizziness,Feeling lightheaded or unsteady.
Cramps,Painful muscle contractions.
Bruising,Discoloration of the skin due to injury.
Obesity,Excessive body weight.
Swollen Legs,Enlarged or puffy legs.
Swollen Blood Vessels,Enlarged blood vessels.
Puffy Face,Facial swelling.
Enlarged Thyroid,Abnormally large thyroid gland.
Brittle Nails,Fragile and easily broken nails.
Swollen Extremeties,Enlarged hands or feet.
Excessive Hunger,Unusually high appetite.
Extra-Marital Contacts,Engaging in affairs outside of marriage.
Dying Lipds,Deteriorating lipid levels.
Slurred Speech,Impaired or unclear speech.
Knee Pain,Discomfort in the knee joint.
Hip-Joint Pain,Pain in the hip joint.
Muscle Weakness,Reduced muscle strength.
Stiff Neck,Limited movement and discomfort in the neck.
Swelling Joints,Enlarged or inflamed joints.
Movement  Stiffness,Difficulty moving joints.
Spinning movements,Sensation of spinning or dizziness.
Loss Of Balance,Difficulty maintaining equilibrium.
Unsteadiness,Lack of stability or balance.
Body Weakness,Generalized lack of strength.
Loss of Smell,Impaired or absent sense of smell.
Bladder Discomfort,Unpleasant sensations in the bladder.
Foul Smell of Urine,Offensive odor in urine.
Continuous Feel of Urine,Persistent urge to urinate.
Passage Of Gases,Release of gas from the digestive system.
Internal itching,Unpleasant sensation within the body.
Toxic Look,Appearance indicative of toxicity.
Depression,Persistent feelings of sadness.
Irritability,Easily provoked or agitated.
Muscle Pain,Aching or discomfort in muscles.
Altered Sensorium,Changes in mental awareness.
Red Spots Over Body,Discolored spots on the skin.
Belly Pain,Discomfort or pain in the abdomen.
Abnormal Menstruation,Irregular menstrual cycles.
Dischromic Patches,Abnormal skin discoloration.
Watering from Eyes,Excessive tear production.
Increased Appetite,Heightened desire for food.
Polyuria,Excessive urination.
Family History,Medical history of relatives.
Mucoid Sputum,Thick and slimy respiratory secretion.
Rusty Sputum,Sputum with a reddish-brown color.
Lack of Concentration,Difficulty focusing or concentrating.
Visual Disturbances,Abnormalities in vision.
Receiving Blood Transfusion,Receiving donated blood.
Reciving unsterile innjections,Administration of unsterile injections.
Coma,Unconscious and unresponsive state.
Stomach Bleeding,Blood loss from the stomach.
Distention Of Abdomen,Abdominal swelling or bloating.
Alcohol addiction,Dependency on alcohol.
Fuild Overload,Excessive accumulation of fluids.
Blood in Sputum,Presence of blood in respiratory secretions.
Prominent Veins on Calf,Visible veins on the calf.
Palpitations,Irregular or rapid heartbeats.
Painful Walking,Discomfort or pain while walking.
Pimples,"Small, inflamed skin lesions."
Blackheads,Clogged pores with darkened material.
Scurring,Scaling or flaking of the skin.
Skin Peeling,Shedding of the outer skin layer.
Silver like Dusting,Shiny or metallic appearance on the skin.
Small Dents in Nails,Depressions or irregularities in nails.
Inflammatory Nails,Swelling and redness around nails.
Blister,Fluid-filled skin lesion.
Red Sore around Nose,"Painful, red skin lesion near the nose."
Yellow Crust Ooze,Yellowish discharge or crust on the skin.
